Main ID,dead_count,lat,long
2015.MMP00041,9,34.579,12.4365
2015.MMP00071,8,37.020073,27.401316
2015.MMP00091,11,37.4667,26.9667
2015.MMP00110,2,33.7123,11.4474
2015.MMP00110,1,33.7123,11.4474
2015.MMP00199,6,37.0059,27.4196
2015.MMP00226,18,37.3511,27.0371
2015.MMP00237,6,39.2836,26.5057
2015.MMP00303,1,36.89333,27.288888
2015.MMP00306,9,36.10688204,33.990881
2015.MMP00307,6,36.9211826,29.191935
2015.MMP00322,1,39.2836,26.5057
2015.MMP00328,6,39.2836,26.5057
2015.MMP00329,1,39.3700725,25.453518
2015.MMP00330,3,39.344441,26.557274
2015.MMP00346,1,37.7548,26.9778
2015.MMP00349,1,39.1756491,25.943523
2015.MMP00363,1,38.406249,26.246271
2015.MMP00364,1,39.2836,26.5057
2015.MMP00365,5,37.2028822,28.311496
2015.MMP00366,10,37.2028822,28.311496
2015.MMP00366,0,37.2028822,28.311496
2015.MMP00366,0,37.2028822,28.311496
2015.MMP00366,0,37.2028822,28.311496
2015.MMP00372,1,37.4653473,26.932666
2015.MMP00387,3,36.949998,26.983329
2015.MMP00387,1,36.949998,26.983329
2015.MMP00390,1,39.2836,26.5057
2015.MMP00392,38,37.2948,27.1199
2015.MMP00393,2,38.022701,27.067593
2015.MMP00394,22,34.8657,12.6049
2015.MMP00400,1,38.328609,26.293587
2015.MMP00405,13,39.2836,26.5057
2015.MMP00422,26,39.445562,26.042874
2015.MMP00423,26,39.2836,26.5057
2015.MMP00424,2,39.2357,26.665
2015.MMP00429,2,39.2836,26.5057
2015.MMP00430,1,39.2836,26.5057
2015.MMP00433,1,39.3671,26.1751
2015.MMP00437,1,37.4667,26.9667
2015.MMP00439,7,36.893311,27.307574
2015.MMP00443,17,36.5278615,34.692518
2015.MMP00449,6,40.72294247,26.043375
2015.MMP00453,2,39.2836,26.5057
2015.MMP00462,1,36.9523,26.9808
2015.MMP00463,2,36.8915,27.2877
2015.MMP00464,2,36.8925871,27.287793
2015.MMP00467,1,36.8893,27.1828
2015.MMP00482,1,39.2836,26.5057
2015.MMP00495,3,39.2836,26.5057
2015.MMP00496,9,37.471039,27.02218
2015.MMP00506,8,39.2836,26.5057
2015.MMP00513,10,39.4162,26.4074
2015.MMP00513,3,39.4162,26.4074
2015.MMP00513,0,39.4162,26.4074
2015.MMP00513,0,39.4162,26.4074
2015.MMP00514,7,38.1646858,26.747187
2015.MMP00518,1,38.3755288,25.716801
2015.MMP00519,5,34.2345,14.7437
2015.MMP00544,13,39.4277,26.3885
2015.MMP00548,3,39.1756491,25.943523
2015.MMP00550,23,39.410744,26.586906
2015.MMP00551,5,39.2836,26.5057
2015.MMP00553,10,39.2836,26.5057
2015.MMP00555,1,39.2836,26.5057
2015.MMP00556,1,38.432258,26.243986
2015.MMP00560,2,38.381773,26.464046
2015.MMP00561,2,39.26025639,26.487821
2015.MMP00562,4,37.68961042,27.006609
2015.MMP00563,3,34.2708,15.0073
2015.MMP00564,3,37.4606024,27.005194
2015.MMP00565,43,39.3856462,26.216722
2015.MMP00565,13,39.3856462,26.216722
2015.MMP00566,19,36.9523,26.9808
2015.MMP00567,1,39.277258,26.409536
2015.MMP00568,1,37.458981,26.992945
2015.MMP00569,1,39.385094,26.15356
2015.MMP00576,7,36.45062456,28.21575
2015.MMP00577,2,37.7548,26.9778
2015.MMP00579,4,39.470142,26.592653
2015.MMP00580,1,39.1756491,25.943523
2015.MMP00581,1,37.4578,26.9721
2015.MMP00586,4,39.279915,26.388937
2015.MMP00594,11,37.751814,26.960291
2015.MMP00595,10,37.284761,27.125852
2015.MMP00597,1,38.35754,26.452157
2015.MMP00598,1,39.276195,26.383443
2015.MMP00599,1,39.274069,26.38619
2015.MMP00602,1,36.4073604,27.447418
2015.MMP00603,10,39.2836,26.5057
2015.MMP00605,2,36.8915,27.2877
2015.MMP00606,1,37.4653473,26.932666
2015.MMP00612,1,37.03833,27.429855
2015.MMP00614,15,39.445518,25.986638
2015.MMP00615,1,39.276195,26.383443
2015.MMP00616,6,37.779414,26.35341
2015.MMP00620,1,39.502976,26.406946
2015.MMP00636,3,36.921375,27.296143
2015.MMP00636,6,36.921375,27.296143
2015.MMP00636,2,36.921375,27.296143
2015.MMP00646,15,31.241703,34.235811
2015.MMP00664,1,37.847167,27.252642
2015.MMP00666,4,39.603753,26.401857
2015.MMP00667,5,39.314606,26.515185
2015.MMP00674,33,38.325725,26.289227
2015.MMP00675,1,39.3346,26.4755
2015.MMP00681,5,37.2856,27.0866
2015.MMP00689,6,39.0245112,15.296917
2015.MMP00692,1,36.88262,27.311018
2015.MMP00693,25,37.469404,27.027424
2015.MMP00694,1,37.305186,27.133167
2015.MMP00701,4,37.276233,27.107574
2015.MMP00702,13,37.318839,27.118061
2015.MMP00704,1,36.173351,29.602718
2015.MMP00706,6,36.175438,29.589343
2015.MMP00707,1,37.586014,26.494619
2015.MMP00708,1,39.446941,26.480153
2015.MMP00710,5,36.964183,27.43113
2015.MMP00727,1,36.93013,27.001581
2015.MMP00728,2,38.331957,26.214435
2015.MMP00729,4,36.9523,26.9808
2015.MMP00730,5,39.196567,26.575927
2015.MMP00740,4,36.925738,27.254266
2015.MMP00741,4,37.118979,27.220141
2015.MMP00744,18,36.941323,27.343616
2015.MMP00746,1,38.376413,26.213546
2015.MMP00747,2,37.659145,26.326265
2015.MMP00768,1,37.63936948,26.498112
2015.MMP00769,1,37.576548,26.482196
2015.MMP00770,2,39.0245112,15.296917
2015.MMP00771,14,37.2954,27.1127
2015.MMP00772,11,39.3805469,26.186166
2015.MMP00774,1,37.566252,26.505769
2015.MMP00775,20,39.088957,26.781175
2015.MMP00776,2,37.756132,26.960456
2015.MMP00777,1,37.828242,27.003982
2015.MMP00780,1,37.707325,27.000325
2015.MMP00781,1,37.798058,26.69863
2015.MMP00783,1,37.593055,26.518854
2015.MMP00786,4,37.551464,26.507867
2015.MMP00792,2,37.757877,27.028391